# author: ****
# date: ****
# version: ***
Position;sample1;sample2;sample3
-430;2,820814865;5,216825825;7,774237597
-420;2,888021573;5,194094557;7,985434684
-410;2,912290661;5,233874275;7,98816568
-400;2,953361427;5,287861035;8,037323623
-390;2,985097928;5,276495401;8,10832954
-380;2,970163104;5,302068077;8,201183432
-370;3,168049521;5,317695823;8,247610378
-360;3,420074674;5,401517371;8,359581247
-350;3,644097033;5,513753003;8,54893036
-340;3,888654774;5,652982014;8,660901229
-330;4,086541191;5,621726522;8,859353664
-320;4,314297255;5,606098776;8,919435594
-310;4,530852202;5,667189056;8,832043696
-300;4,777276796;5,73964497;8,98588985
-290;5,214120396;5,77658328;8,944014565
-280;5,662165113;5,915812291;9,055985435
-270;6,009399769;5,969799051;9,044151115
-260;6,36036813;5,974061164;9,057806099
-250;6,763608376;5,928598629;9,072371416
-240;7,138845826;5,985426797;9,087847064
-230;7,599958514;5,984006093;8,937642239
-220;7,982663377;5,996792431;8,908511607
-210;8,34669971;6,059303416;8,862084661
-200;8,654730453;6,14880778;8,948566227
-190;9,035568462;6,163014822;8,954938553
-180;9,472412061;6,225525807;9,10605371
-170;9,793510775;6,280933271;9,331816113
-160;10,07913928;6,481252563;9,526627219
-150;10,32743073;6,619060871;9,735093309
-140;10,62612721;6,862001289;9,856167501
-130;10,83521474;7,042430722;10,01183432
-120;11,1824494;7,056637764;10,33136095
-110;11,53341776;7,181659734;10,65817023
-100;11,87878556;7,308102408;10,75739645
-90;12,07293827;7,363509872;10,95584888
-80;12,14387869;7,39334466;11,09877105
-70;12,17748204;7,48142832;11,13154301
-60;12,26522413;7,705899584;11,16977697
-50;12,42203978;7,806769582;11,24624488
-40;12,5564532;7,936053665;11,29267183
-30;12,70766829;7,86359775;11,30268548
-20;12,84394856;7,845128596;11,18343195
-10;12,78234241;7,832342258;11,10423305
0;12,80847835;7,937474369;10,92762858
10;12,84394856;8,014192396;10,71005917
20;12,84021485;8,090910422;10,53436504
30;12,76554073;8,203146054;10,46426946
40;12,59379026;8,171890562;10,46244879
50;12,44257517;8,062496338;10,40236686
60;12,29509378;7,924688031;10,3131543
70;12,21855281;7,860756342;10,27583068
80;12,13827813;7,803928174;10,28857533
90;12,01879954;7,8465493;10,34774693
100;11,76864124;7,884908313;10,34501593
110;11,49048014;7,801086765;10,36322258
120;11,28139261;7,576615502;10,41511152
130;11,04803598;7,400448181;10,32589895
140;10,81654621;7,249853536;10,37778789
150;10,60185812;7,283950436;10,22758307
160;10,3404987;7,171714805;10,29585799
170;9,98392978;7,124831566;10,38142922
180;9,632961418;7,031065089;10,30860264
190;9,280126204;6,908884528;10,13290851
200;8,895554488;6,765393403;9,998179335
210;8,662197865;6,667364813;9,745106964
220;8,326164327;6,592067491;9,545744197
230;7,997598201;6,556549886;9,45471097
240;7,646629839;6,511087351;9,446517979
250;7,280726653;6,401693128;9,312699135
260;6,929758292;6,265305525;9,272644515
270;6,593724754;6,134600738;9,250796541
280;6,155014302;6,003895952;9,147928994
290;5,761108321;5,984006093;9,048702777
300;5,428808489;5,985426797;8,975876195
310;5,079706981;5,957012713;9,026854802
320;4,902355947;5,951329896;9,132453345
330;4,700735824;5,952750601;9,23441056
340;4,388971375;5,969799051;9,301775148
350;4,194818664;5,978323276;9,445607647
360;3,940926658;5,959854122;9,40282203
370;3,759841918;5,966957643;9,429221666
380;3,526485294;5,984006093;9,312699135
390;3,485414529;5,972640459;9,236231224
400;3,449944322;5,895922432;9,156121985
410;3,36780279;5,873191165;8,966772872
420;3,321131466;5,804997364;8,907601274
430;3,322998319;5,742486379;8,827492035
440;3,263259023;5,691341028;8,771961766
450;3,22405511;5,652982014;8,67728721
460;3,220321404;5,540746382;8,522530724
470;3,229655669;5,545008495;8,463359126
480;3,229655669;5,500966665;8,374146563
490;3,209120286;5,485338919;8,342284934
500;3,266992729;5,448400609;8,214838416
510;3,24272364;5,415724413;8,162039144
520;3,252057905;5,347530611;8,097405553
530;3,274460141;5,331902865;7,977241693
540;3,252057905;5,233874275;7,998179335
550;3,216587698;5,229612162;7,801547565
560;3,240856787;5,14436991;7,773327264
570;3,182984345;5,17136329;7,754210287
580;3,209120286;5,212563712;7,654984069
590;3,188584904;5,236715683;7,688666363
600;3,212853992;5,204039487;7,707783341
610;3,201652875;5,178466811;7,686845699
620;3,214720845;5,25234343;7,702321347
630;3,216587698;5,31343371;7,756030951
640;3,212853992;5,320537231;7,837960856
650;3,212853992;5,344689203;7,713245335
660;3,207253433;5,317695823;7,73145198
670;3,190451757;5,34042709;7,670459718
680;3,166182668;5,249502021;7,685025034
690;3,160582109;5,212563712;7,712335002
700;3,069106312;5,135845685;7,569412836
710;3,009367017;5,106010897;7,421028675
720;3,014967576;5,111693714;7,43104233
730;2,994432193;5,074755405;7,389167046
740;3,000032752;5,059127658;7,259899863
750;2,996299046;4,998037378;7,22257624
760;2,951494574;4,915636534;7,123350023
770;2,910423808;4,864491183;7,033227128
780;2,843217101;4,885801746;6,923076923
790;2,809613747;4,837497803;6,861174329
800;2,759208716;4,709634425;6,72553482
810;2,727472216;4,742310622;6,594446973
820;2,714404245;4,706793017;6,613563951
830;2,663999214;4,621550765;6,54528903
840;2,600526212;4,563301892;6,588074647
850;2,622928448;4,537729217;6,551661356
860;2,632262713;4,520680766;6,59717797
870;2,615461036;4,584612455;6,620846609
880;2,574390271;4,638599215;6,663632226
890;2,555721741;4,618709356;6,699135184
900;2,563189153;4,686903158;6,763768776
910;2,531452652;4,804821606;6,774692763
920;2,494115592;4,861649774;6,810195721
930;2,482914474;4,901429492;6,876649977
940;2,479180768;4,959678364;6,935821575
950;2,492248739;4,952574843;7,004096495
960;2,507183563;4,902850196;7,118798361
970;2,488515033;4,867332591;7,256258534
980;2,520251534;4,908533013;7,346381429
990;2,540786917;4,865911887;7,433773327
1000;2,529585799;4,847442732;7,467455621
1010;2,568789712;4,826132169;7,534820209
1020;2,639730125;4,800559494;7,526627219
1030;2,596792506;4,763621185;7,535730542
1040;2,587458241;4,747993438;7,664997724
1050;2,615461036;4,756517664;7,69139736
1060;2,63039586;4,777828227;7,761492945
1070;2,684534597;4,827552874;7,713245335
1080;2,662132361;4,854546253;7,646791079
1090;2,647197537;4,863070479;7,548475193
1100;2,632262713;4,939788505;7,524806554
1110;2,673333479;4,966781885;7,490213928
1120;2,692002009;4,986671744;7,412835685
1130;2,678934038;4,93126428;7,41465635
1140;2,669599773;4,921319351;7,431952663
1150;2,673333479;4,895746675;7,329995448
1160;2,68640145;4,814766536;7,291761493
1170;2,712537392;4,865911887;7,290851161
1180;2,73680648;4,819028648;7,278106509
1190;2,734939628;4,726682875;7,177969959
1200;2,72373851;4,64712344;7,149749659
1210;2,714404245;4,540570625;7,067819754
1220;2,673333479;4,541991329;7,049613109
1230;2,693868862;4,421231472;6,98588985
1240;2,678934038;4,442542035;7,015020482
1250;2,710670539;4,426914289;6,799271734
1260;2,699469421;4,381451755;6,803823396
1270;2,729339069;4,419810768;6,710969504
1280;2,729339069;4,340251333;6,624487938
1290;2,678934038;4,38003105;6,656349568
1300;2,64906439;4,411286543;6,546199363
1310;2,645330684;4,419810768;6,561675011
1320;2,628529007;4,46101119;6,512517069
1330;2,613594183;4,425493585;6,461538462
1340;2,596792506;4,391396684;6,360491579
1350;2,514650975;4,357299783;6,251251707
1360;2,512784122;4,303313024;6,275830678
1370;2,494115592;4,226594997;6,192990442
1380;2,501583004;4,178291054;6,12835685
1390;2,462379091;4,134249224;6,06008193
1400;2,421308326;4,071738239;5,908966773
1410;2,397039237;4,012068662;5,736003641
1420;2,393305531;4,030537817;5,705962676
1430;2,395172384;3,949557678;5,578516158
1440;2,419441473;3,938192044;5,555757852
1450;2,383971266;3,941033452;5,556668184
1460;2,335433088;3,90977796;5,561219845
1470;2,36156903;3,921143594;5,521165225
1480;2,344767353;3,884205284;5,466545289
1490;2,370903295;3,928247115;5,540282203
1500;2,372770148;3,960923311;5,506599909
1510;2,354101618;3,932509227;5,534820209
1520;2,335433088;3,921143594;5,532089213
1530;2,318631411;3,861474017;5,494765589
1540;2,30556344;3,771969653;5,586709149
1550;2,240223586;3,770548948;5,526627219
1560;2,26822638;3,747817681;5,438324989
1570;2,281294351;3,790438807;5,421939008
1580;2,281294351;3,86573613;5,474738279
1590;2,260758969;3,878522468;5,582157487
1600;2,271960086;3,861474017;5,545744197
1610;2,257025263;3,89272951;5,664997724
1620;2,307430293;3,916881481;5,598543468
1630;2,279427498;3,970868241;5,620391443
1640;2,285028057;3,966606128;5,702321347
1650;2,301829734;4,068896831;5,689576695
1660;2,30556344;4,147035562;5,796085571
1670;2,329832529;4,208125842;5,890760127
1680;2,337299941;4,267795419;5,903504779
1690;2,359702177;4,223753588;5,89986345
1700;2,3429005;4,233698518;5,803368229
1710;2,331699382;4,216650067;5,776968594
1720;2,30556344;4,161242604;5,776968594
1730;2,298096028;4,127145703;5,768775603
1740;2,260758969;4,040482746;5,725079654
1750;2,243957292;4,022013592;5,654984069
1760;2,219688203;3,989337395;5,594902139
1770;2,243957292;3,888467397;5,415566682
1780;2,229022468;3,827377116;5,346381429
1790;2,214087644;3,747817681;5,315430132
1800;2,210353938;3,766286836;5,256258534
1810;2,191685408;3,716562189;5,260810196
1820;2,178617437;3,695251626;5,190714611
1830;2,163682613;3,706617259;5,192535275
1840;2,107677024;3,689568809;5,015930815
1850;2,145014083;3,689568809;4,967683204
1860;2,1244787;3,757762611;4,984979518
1870;2,167416319;3,753500498;5,038689122
1880;2,145014083;3,843004863;5,167045972
1890;2,117011288;3,854370496;5,297223487
1900;2,102076465;3,945295565;5,306326809
1910;2,141280377;3,992178804;5,350933091
1920;2,145014083;3,995020212;5,313609467
1930;2,176750584;4,022013592;5,258989531
1940;2,165549466;3,996440916;5,15430132
1950;2,131946112;3,93677134;5,156121985
1960;2,128212406;3,959502607;5,170687301
1970;2,100209612;3,833059933;5,104233045
1980;2,061005699;3,742134864;4,996813837
1990;2,072206817;3,676782471;4,875739645
2000;2,053538287;3,602905853;4,807464725

